model,split,MAE,RMSE,MAPE
SARIMAX,validation,1033.5,1073.6978935746622,42.74715323842262
Ridge,validation,1222.3761729168755,1252.040419713489,50.970029053262344
RandomForest,validation,1244.6,1278.8158269925605,51.79860564211843
GradientBoosting,validation,1293.3713437308609,1327.040848729988,53.90209283367251
XGBoost,validation,1080.0687255859375,1138.0083479482917,44.458241086674064
XGBoost,test,472.7225341796875,605.1280856149382,27.60712446872108
