week_of_year,month,is_monsoon,y_lag1,y_lag2,y_lag3,y_lag4,rainfall_lag2,rainfall_lag4,humidity_lag1,humidity_lag2,temperature_lag1,vpd_lag1,vpd_lag2,rain_roll4,hum_roll4,temp_roll4,rainfall,rain_days_ge1mm,temperature,humidity,vpd_kpa
5,1,0,-0.014844649473034457,2.052069073313143,0.3846619784424737,-0.6940984891141033,-0.6953840502421015,-0.9230738020964983,-0.8346898611838536,-0.6664600021389449,-1.7819208624531755,0.052356725585717245,-0.6703993599910745,-0.9217683360281226,-0.8982793229945403,-2.3819160304394145,-1.081742829018407,0.05821015,-2.6546130597519375,-1.051842101928229,0.06841978126651753
6,2,0,-0.2433395071845535,-0.06307165609948033,2.125754307935866,0.42385309087687906,-0.7134518106444971,-0.7974660823697459,-0.9614639161801525,-0.7725076778117996,-2.3010206316856006,-0.0021671391362512783,-0.03479240144004955,-0.8950864807689188,-0.9132696161308802,-2.0048515538236695,-0.9060122126050155,1.154337421,-1.6371924298706544,-0.9428336702438815,0.30219812352116077
7,2,0,0.14581579735537736,-0.27262120204748014,-0.03306650752043232,2.1420028642553506,-0.930799210451874,-0.5680831980847522,-0.8496661163580074,-0.9141888161336537,-1.3753892190077552,0.24187982716667644,-0.09661994931242934,-0.9436483360197094,-1.077965366007512,-1.3909451187196966,-1.0243059829325145,0.330325324,-0.7867093700360552,-1.3776264376324314,1.0274197202029476
8,2,0,-0.7324613119732739,0.08426786839520704,-0.2469434923334402,0.011629056956900315,-0.7467189976635721,-0.5961574573320556,-1.2955846019424706,-0.7892449580142402,-0.6016346744147935,0.9989565044183739,0.18011805466335626,-0.8963433990939674,-0.936421021516894,-1.0095746783230706,-0.7112839350473263,0.859792429,-0.3667900233489287,-0.462491200418797,0.3055189558747088
9,2,0,-0.6110734188140294,-0.7211881988424172,0.11731574742621384,-0.1994296484101288,-0.8706333323301699,-0.9338787417094259,-0.35703237731770315,-1.287598021172222,-0.21959943090875522,0.24534652580808108,1.0386080891561202,-0.6994513118761175,-0.6558354018503827,-0.5811057115600174,-0.40343072777955985,1.31727144,-0.7252889608124286,-0.1285984950594415,-0.0013446962318169966
10,3,0,-0.6289245795727418,-0.6098650025575424,-0.7047739129487852,0.16002970916809267,-0.5427384762250363,-0.6478490678029478,-0.014595840445668288,-0.23868349711422274,-0.5457554652783022,-0.0749959945596165,0.18404913103337373,-0.6897319506090261,-0.541563190971454,-0.23697053810658336,-0.8725280819985592,0.648384856,-0.08760929797581164,-0.5668304799801547,0.5957255162548248
11,3,0,-0.6110734188140294,-0.6262360608347298,-0.5911517647668747,-0.6512271895864256,-0.22025805102638463,-0.8403910917400124,-0.46404154816574583,0.1440194017434328,0.03439428774593457,0.5483002980819455,-0.17920451238659602,-0.5878766248410098,-0.2795748906891185,0.09760419277217185,-0.6734046286915657,1.230935129,0.7198246878611978,-0.5155757609171719,0.7927106310990828
12,3,0,0.24221206545242446,-0.6098650025575424,-0.607860904205391,-0.5391022523601913,-0.7116439150577727,-0.3308976630507392,-0.41147529495758745,-0.35827564187184735,0.7689835412011379,0.7539379085677395,0.5275847361100519,-0.6420599155406246,-0.4953948841223645,0.00922995439883083,-0.8979505618570964,0.566462413,-0.7647244387797674,-1.1726289095734272,0.8547190324337413
13,3,0,-0.6753375975453941,0.17267158309201946,-0.5911517647668747,-0.5555912137169905,-0.5030593871934546,0.17018265114289155,-1.0853414835721513,-0.29952823813798307,-0.5816331702397134,0.8186700051557726,0.7607683020862457,-0.7300915079877733,-0.8279432913921209,0.43808545964404394,-0.7067079965209814,0.878472238,1.2057756562664355,-1.2228213256917115,1.8110198687559307
14,3,0,-0.7431720084285014,-0.6688008123554173,0.20754510039420154,-0.5391022523601913,-0.7382743087676374,-0.5933482918204835,-1.1368182510393738,-1.0526328752209249,1.2110931939507512,1.816975989048716,0.8341715140757944,-0.597123359281993,-0.8073563518394362,0.5950491320504897,-0.4144400723638046,1.804636869,0.6191718678099326,-0.49909087041071054,0.7841421219342847
15,4,0,-0.7753040977941837,-0.7310108338087298,-0.6513046667455332,0.24907010049480807,-0.5379451183297094,-0.2692430358385163,-0.3945685799406427,-1.1101626829729794,0.6774113740189835,0.7449930309232139,1.9662044564426822,-0.3384986603820994,-0.5820847729291105,0.5922076084575263,0.2175822333093921,3.636543213,0.7070297823467449,0.22566160287000256,0.018041962802811642
16,4,0,-0.0041339530178070025,-0.7604787387076672,-0.714799396611895,-0.5984625132446683,-0.23179048934071966,-0.6347274423193675,0.3487292611205486,-0.2806334995500768,0.7573429609744476,-0.05475778396012118,0.7506252233885126,-0.0020162047217081604,-0.059425025087005104,0.8841657185413089,0.26126373036823125,3.835263036,0.5499141030051614,0.5471394496760574,-0.3662770217152961
17,4,0,-0.9288240803191106,-0.05324902113316784,-0.7448758476012242,-0.661120566400505,0.4302614791198503,-0.32344959150111463,0.6784332611611097,0.5500671058443047,0.6144018764794746,-0.4559578325176695,-0.1562553149833635,0.11513337814564861,0.22878239385180363,0.9773135885211246,-0.30311646149860716,2.225210692,1.6252049364652146,-0.2744988232638796,0.9718096033488958
18,4,0,-0.20406695351538617,-0.9012698398914796,-0.023041023857322575,-0.6908006968427435,0.4760184418939815,0.1522631826653679,-0.1642295470732191,0.9185402767654294,1.5926825835763074,0.9409037345035293,-0.6111976661002775,0.34404653806363994,0.541348548553186,0.9862541864979166,0.37418769170369914,3.550153268,0.659429885247851,0.5293820227995523,-0.3249727185555869
19,5,1,3.448280537717176,-0.23660487383766768,-0.8885744467724639,0.021522433770979805,-0.11517749159068147,1.1809805324529643,0.6602214474085322,-0.023209404552371835,0.7140374109384608,-0.4128392536785588,0.9727789255534136,0.6566200099568441,0.6602738679233249,1.0432453463878664,1.294427786156879,4.873403633,0.9636514439640815,0.6169754589892424,-0.3330624185073578
20,5,1,-0.129092078328794,3.112913649674892,-0.21018338556870447,-0.8326057645112162,0.5943078285460551,1.252079152684825,0.7500562729679479,0.8981869757414453,0.9908128397937008,-0.4212842905989599,-0.5623031863901852,1.008437866791701,0.992060933235479,0.8876088642906345,1.4733099486550834,5.133476491,-0.1508909467813552,1.638857148021676,-1.735846460890679
21,5,1,0.13153486874840742,-0.16784642907348024,3.208506543551718,-0.16315393342517068,1.5582718540564064,0.3334601576930931,1.7980864367554343,0.9985852815822958,-0.023178244459642377,-1.8856850841887582,-0.5718794687601643,1.8033146412914052,1.558712386116176,0.5595172530380849,2.4353101698382105,5.645242336,0.1478632819890037,1.5900205766141657,-1.623806842870163
22,5,1,1.0669356925049385,0.07117102177345706,-0.14000499992693627,3.2104875601759355,1.7456533542682942,1.4358809539658808,1.7480002081045478,2.169851015768878,0.2486231036734841,-1.768724168904902,-2.232442428332326,2.134391003293099,1.951574859184177,0.34136334648034533,1.5147774734119137,3.761448829,-0.32288067128866776,1.8220632623790742,-1.92764567162497
23,6,1,1.2668686930025177,0.9290144754980814,0.10394843587540085,-0.09390029572661425,2.753361680979022,2.9337188350606356,1.9859805306584701,2.1138752572454687,-0.17965147390492422,-2.0859090017149335,-2.099814144813085,1.8817526496087342,2.142360146666676,0.19371897989211806,0.42406445687003,3.54444306,0.29883355368999936,1.2447385537700528,-1.2187694870990284
